,Round,Agent,Opponent,State,Player 1 Action,Player 2 Action,Player 1 Reward,Player 2 Reward,Player 1 Score,Player 2 Score,Collision Point
0,1,5,6,1,0,0,3,3,0,0,"[3.55, 134.95]"
1,4,3,12,1,0,0,3,3,0,0,"[516.00725, 92.1763]"
2,13,2,6,1,0,0,3,3,0,3,"[142.20808968003314, 283.3923116598388]"
3,22,1,12,3,1,0,5,0,0,3,"[593.4967375, 442.52196999999995]"
4,23,1,12,2,0,1,0,5,3,5,"[560.9694043750001, 446.4078415]"
5,24,1,12,3,1,0,5,0,10,3,"[570.9709958125, 431.03445865]"
6,26,9,10,1,0,0,3,3,0,0,"[550.1251212972029, 284.89958408959046]"
7,28,1,10,3,1,0,5,0,15,3,"[569.4282351793925, 379.38103071436865]"
8,29,9,12,1,0,0,3,3,3,3,"[467.82087488642946, 256.12251756421284]"
9,30,9,10,1,0,0,3,3,6,3,"[539.7049225175995, 246.82986980207727]"
10,31,1,10,3,1,0,5,0,20,6,"[590.1970462457846, 395.20021957139676]"
11,36,0,2,1,0,0,3,3,0,3,"[15.990864862459443, 346.86114502845606]"
12,37,0,6,1,0,0,3,3,3,6,"[28.724071265133894, 285.6067325536286]"
13,37,5,9,1,0,0,3,3,3,9,"[407.94425595723726, 197.2038312291544]"
14,38,0,2,1,0,0,3,3,6,6,"[29.59493319897737, 383.73702029510946]"
15,43,7,8,3,1,0,5,0,0,0,"[202.55, 245.00000000000006]"
16,46,6,8,1,0,0,3,3,9,0,"[133.49183297796407, 132.5461888708812]"
17,47,7,8,3,1,0,5,0,5,3,"[176.5999251599162, 217.83071500810337]"
18,48,3,6,1,0,0,3,3,3,12,"[150.27242972949898, 93.94202693878111]"
19,50,0,8,1,0,0,3,3,9,3,"[-0.6255859419459426, -82.30283507239159]"
20,51,0,2,1,0,0,3,3,12,9,"[67.52379619789335, 418.5641810468675]"
21,52,0,10,1,0,0,3,3,6,15,"[18.65, 16.85]"
22,53,3,6,1,0,0,3,3,6,15,"[139.20078596229308, 85.0655217221155]"
23,53,0,10,1,0,0,3,3,9,18,"[19.3925, 18.5825]"
24,54,0,10,1,0,0,3,3,12,21,"[19.726625000000002, 19.362125]"
25,55,0,10,1,0,0,3,3,15,24,"[19.87698125, 19.712956249999998]"
26,55,8,13,3,1,0,5,0,0,6,"[345.0636137158691, 560.25]"
27,56,0,10,1,0,0,3,3,18,27,"[19.9446415625, 19.8708303125]"
28,57,0,10,1,0,0,3,3,21,30,"[19.975088703125003, 19.941873640625]"
29,57,8,14,3,1,0,5,0,0,6,"[56.83834144155166, 567.4]"
30,58,0,10,1,0,0,3,3,24,33,"[19.988789916406247, 19.97384313828125]"
31,58,8,13,3,1,0,5,0,5,6,"[358.0630429502743, 585.1124999999998]"
32,59,0,10,1,0,0,3,3,27,36,"[19.994955462382812, 19.988229412226563]"
