,Round,Agent,Opponent,State,Player 1 Action,Player 2 Action,Player 1 Reward,Player 2 Reward,Player 1 Score,Player 2 Score,Collision Point
0,1,2,13,3,1,0,5,0,0,0,"[227.3, 176.8]"
1,1,4,16,1,0,0,3,3,0,0,"[306.85, 471.7]"
2,1,4,24,1,0,0,3,3,3,0,"[320.1, 470.65]"
3,1,5,11,1,0,0,3,3,0,0,"[216.64999999999998, 361.75]"
4,1,8,10,3,1,0,5,0,0,0,"[199.35000000000002, 581.25]"
5,1,16,24,1,0,0,3,3,3,3,"[311.3, 458.2]"
6,1,19,22,1,0,0,3,3,0,0,"[309.6, 60.3]"
7,2,2,13,3,1,0,5,0,5,0,"[239.63, 174.46]"
8,2,4,16,1,0,0,3,3,6,6,"[303.115, 469.63]"
9,2,4,24,1,0,0,3,3,9,6,"[321.09000000000003, 476.635]"
10,2,8,10,3,1,0,5,0,5,0,"[202.86, 560.46]"
11,2,10,12,2,0,1,0,5,0,0,"[210.6525, 531.5975]"
12,2,16,24,1,0,0,3,3,9,9,"[308.87, 459.73]"
13,2,19,22,1,0,0,3,3,3,3,"[311.71500000000003, 71.28]"
14,3,4,16,1,0,0,3,3,12,12,"[306.50350000000003, 471.817]"
15,3,4,24,1,0,0,3,3,15,12,"[323.331, 483.3715]"
16,3,8,12,4,1,1,1,1,10,5,"[210.49312500000002, 545.898375]"
17,3,8,10,2,0,1,0,5,0,11,"[193.94662500000004, 590.275875]"
18,3,16,24,1,0,0,3,3,15,15,"[312.983, 465.60699999999997]"
19,4,4,16,1,0,0,3,3,18,18,"[307.30315, 467.0353]"
20,4,4,24,1,0,0,3,3,21,18,"[330.29789999999997, 489.88435000000004]"
21,4,10,12,2,0,1,0,5,0,6,"[216.88545, 515.0500999999999]"
22,5,4,16,1,0,0,3,3,24,21,"[315.672835, 470.38176999999996]"
23,6,7,9,1,0,0,3,3,0,0,"[421.955281, 517.743305]"
24,6,9,24,1,0,0,3,3,3,21,"[393.09229400000004, 524.4968735]"
25,6,4,24,1,0,0,3,3,24,27,"[349.7337645, 503.79592]"
26,7,2,22,3,1,0,5,0,10,6,"[348.4229820500001, 135.15416275000007]"
27,7,4,16,1,0,0,3,3,30,24,"[309.64791775000003, 468.52527969999994]"
28,7,4,24,1,0,0,3,3,33,27,"[331.40689439999994, 486.43455235]"
29,8,0,5,1,0,0,3,3,0,3,"[288.74671803, 256.18675263]"
30,8,9,24,1,0,0,3,3,6,30,"[403.7367889400001, 526.4745102349999]"
31,8,15,22,1,0,0,3,3,0,6,"[393.38647270499996, 91.827763775]"
32,8,4,24,1,0,0,3,3,33,36,"[352.62585559499996, 503.14791955]"
33,9,2,22,3,1,0,5,0,15,9,"[347.53226496050013, 119.83676932750001]"
34,9,4,16,1,0,0,3,3,39,27,"[317.1257243275, 462.1354720569999]"
35,9,4,24,1,0,0,3,3,42,36,"[335.30609081399996, 484.22521175350005]"
36,11,11,18,1,0,0,3,3,3,0,"[70.42500000000003, 416.3250000000002]"
37,12,9,17,1,0,0,3,3,9,0,"[511.2002701592458, 446.99168473877614]"
38,12,13,20,1,0,0,3,3,0,0,"[568.2699999999998, 154.12999999999994]"
39,13,7,24,1,0,0,3,3,3,39,"[459.86074038215963, 555.4596665972258]"
40,14,7,24,1,0,0,3,3,6,42,"[473.86128621134367, 541.6061232514246]"
41,15,6,14,2,0,1,0,5,0,0,"[535.4, 380.19999999999993]"
42,15,11,12,2,0,1,0,5,6,11,"[177.45970437499986, 320.25631062499974]"
43,15,10,18,1,0,0,3,3,3,0,"[18.60499999999996, 572.4849999999999]"
44,17,11,18,1,0,0,3,3,6,6,"[55.413266062500185, 396.26372043750087]"
45,18,5,11,1,0,0,3,3,6,9,"[185.58802535854932, 298.9195778015138]"
46,18,8,18,3,1,0,5,0,16,9,"[40.5528740218749, 594.0240945531245]"
47,19,12,13,3,1,0,5,0,16,3,"[123.79676337499932, 289.5998596250008]"
48,20,21,22,1,0,0,3,3,0,9,"[485.58956131390494, 134.22666421775673]"
49,21,8,9,3,1,0,5,0,21,12,"[46.76992892598744, 609.7283056216065]"
50,22,13,21,1,0,0,3,3,3,3,"[453.0189997676169, 145.1811096422549]"
51,22,17,24,1,0,0,3,3,3,45,"[474.4822089440027, 492.29710758972897]"
52,23,5,13,1,0,0,3,3,9,6,"[176.2545270393083, 273.9091858917056]"
53,23,7,16,1,0,0,3,3,9,30,"[442.4539756323916, 334.67042765898896]"
54,24,0,23,1,0,0,3,3,3,0,"[136.0970355737935, 190.49240870726868]"
55,24,4,9,1,0,0,3,3,45,12,"[416.43763879166204, 566.7222891671681]"
56,24,6,20,1,0,0,3,3,0,3,"[594.4135000000001, 170.81800000000078]"
57,25,6,14,2,0,1,0,5,3,5,"[585.200425, 247.21690000000063]"
58,25,8,9,3,1,0,5,0,26,15,"[120.78661375841001, 612.4254164043996]"
59,25,13,15,1,0,0,3,3,3,9,"[591.93108728275, 15.217506301250005]"
60,25,17,24,1,0,0,3,3,6,48,"[547.6960842936226, 457.4481142261316]"
61,25,20,21,1,0,0,3,3,6,6,"[561.796288424747, 134.35364527262823]"
62,26,13,15,1,0,0,3,3,6,12,"[585.3689892772375, 17.8478778355625]"
63,27,6,15,1,0,0,3,3,3,9,"[580.8594276747567, 28.335915026003743]"
64,27,7,17,1,0,0,3,3,12,9,"[481.5599416275197, 462.9518764480092]"
65,27,14,20,3,1,0,5,0,10,9,"[592.0884789588639, 243.17340925463594]"
66,27,13,15,1,0,0,3,3,12,15,"[580.0, 20.0]"
67,27,17,24,1,0,0,3,3,12,51,"[506.2613733434483, 470.4370478239077]"
68,28,6,14,2,0,1,0,5,6,15,"[589.1875864528481, 260.52397340288536]"
69,28,6,20,1,0,0,3,3,6,9,"[579.7486846564886, 117.09135046273254]"
70,28,13,15,1,0,0,3,3,15,18,"[577.8255593427189, 20.871609476597186]"
71,29,6,15,1,0,0,3,3,9,18,"[578.0038751920799, 1.6913136417712842]"
72,29,13,15,1,0,0,3,3,21,21,"[580.0, 20.0]"
73,30,13,15,1,0,0,3,3,24,24,"[577.2602047718257, 21.098227940512455]"
74,30,20,24,1,0,0,3,3,12,54,"[572.574162096971, 476.21094039454954]"
75,30,9,24,1,0,0,3,3,57,15,"[567.3437440149664, 501.4375400060075]"
76,31,4,16,1,0,0,3,3,48,33,"[362.24067673569454, 463.8056888178303]"
77,31,13,15,1,0,0,3,3,27,27,"[580.958928329861, 19.615620220820638]"
78,32,13,15,1,0,0,3,3,30,30,"[575.9656515265133, 21.617140642404593]"
79,33,3,22,1,0,0,3,3,0,12,"[382.75185153847985, 289.01381007916666]"
80,33,13,15,1,0,0,3,3,33,33,"[582.7065752110327, 18.915088073266254]"
81,34,13,15,1,0,0,3,3,36,36,"[573.6063282369315, 22.562859041603012]"
82,35,3,14,2,0,1,0,5,3,20,"[491.4826137059604, 237.96612581242346]"
